fname,res_type,ptype,method,res
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,MES_INC,priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,exhaustive,cardinal_times_cost,UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_gnaszyn-kawodrza.pb,non exhaustive,cardinal_times_cost,UGREEDY,stable priceable
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_grabowka.pb,exhaustive,cardinal_times_cost,UGREEDY,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_grabowka.pb,non exhaustive,cardinal_times_cost,UGREEDY,stable priceable
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_kiedrzyn.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_lisiniec.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_mirow.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_times_cost,MES_INC,priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_mirow.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,exhaustive,cardinal_times_cost,UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_times_cost,MES,priceable
